kepid,koi_period,koi_time0bk,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_dor,koi_dor_err1,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err2,koi_fwm_stat_sig,koi_disposition
725,5.97581754,174.77602,0.941,0.017,-0.618,3.065,0.185,962.0,23.5,0.14724,2.26962,-0.05173,3.86,1.32,81.71,1047.0,284.25,295.54,6.53,3.2,0.3511,7.281016,42.549767,50.3,1,181.0,0.9854,6108.0,193.0,-214.0,4.471,0.054,0.997,0.341,-0.114,1.072,-0.153,0.0,FALSE POSITIVE
726,7.217010987,135.4523674,1.287,0.019,-0.235,4.4215,0.00538,78700.0,63.9,0.89425,0.00081,-0.0969,89.71,25.4,84.53,1096.0,341.36,283.87,13.5033,0.0122,0.3354,854.9326,6998.6523,1307.0,1,190.0,0.0822,6047.0,163.0,-181.0,4.246,0.22,1.211,0.343,-0.312,0.943,-0.095,0.0,FALSE POSITIVE
727,0.699985822,131.840533,0.28,0.019,-0.006,3.02633,0.00881,389000.0,847.0,0.96481,0.02247,-0.01895,46.27,7.16,84.51,1653.0,1761.47,882.07,2.9236,0.0681,0.4767,440.51212,4187.339,626.9,1,1525.0,-1.0,5264.0,158.0,-158.0,4.617,0.036,0.724,0.112,-0.06,0.807,-0.095,0.0,FALSE POSITIVE
728,2.264471713,131.518805,0.81,0.02,-0.017,7.1803,0.0115,187000.0,248.0,0.13614,0.00123,-0.00186,102.12,25.2,75.91,2103.0,4637.68,3530.09,3.3293,0.0301,0.2774,560.42004,5937.5747,873.7,1,595.0,0.9418,6782.0,214.0,-262.0,4.014,0.312,1.752,0.433,-0.595,1.155,-0.17,0.137,FALSE POSITIVE
729,2.99792926,131.76579,0.403,0.092,-0.374,4.398,0.222,45.4,3.4,0.23993,0.11128,-0.05838,1.12,0.2,85.24,1616.0,1611.51,740.37,4.85,2.2,0.3589,4.0600533,11.777276,16.0,1,120.0,0.8228,5888.0,79.0,-79.0,4.061,0.238,1.645,0.29,-0.435,1.136,-0.1,0.806,CONFIRMED
730,0.885131111,131.8742,0.715,0.024,-0.536,3.377,0.21,93.2,5.0,0.1088,0.11099,-0.07732,0.9,0.27,64.37,1818.0,2579.83,2285.43,1.652,0.562,0.3447,4.2237635,17.46621,23.4,1,1523.0,0.8005,5904.0,159.0,-177.0,4.543,0.036,0.867,0.262,-0.082,0.958,-0.119,0.0,FALSE POSITIVE
731,4.994773558,136.1744922,0.416,0.005,-0.002,4.48893,0.00068,260000.0,34.4,1.36469,0.00764,-0.01495,62.69,18.5,88.04,1264.0,604.21,524.02,12.1638,0.0681,0.3026,3393.0452,24443.072,5742.0,1,269.0,-1.0,6253.0,169.0,-188.0,4.271,0.185,1.181,0.349,-0.232,0.95,-0.098,0.0,FALSE POSITIVE
732,20.67876365,151.69245,0.665,0.297,-0.451,4.6395,0.085,324.0,7.9,0.79795,0.98968,-0.08727,2.42,0.4,88.55,749.0,74.36,34.44,26.2,10.8,0.4191,5.9633765,26.140358,42.6,3,64.0,0.3303,5865.0,105.0,-117.0,4.266,0.137,1.272,0.213,-0.213,1.088,-0.089,0.0,CONFIRMED
733,1.992812339,131.70565,1.127,15.76,-0.104,2.066,0.177,315.0,22.8,0.03649,26.59967,-0.00377,6.81,0.75,55.11,675.0,48.82,16.18,1.971,0.986,0.2898,4.3703732,12.93635,16.8,4,643.0,0.383,3638.0,72.0,-87.0,4.844,0.049,0.42,0.046,-0.056,0.45,-0.059,0.0,CONFIRMED
734,2.508057497,135.000657,0.742,0.047,-0.143,1.1134,0.0167,1510.0,6.2,5.95213,3.33995,-1.9443,3.25,0.16,86.61,997.0,234.06,45.09,12.56,3.5,0.6441,22.645512,284.4772,312.7,1,540.0,0.8125,4780.0,95.0,-95.0,4.597,0.015,0.761,0.038,-0.027,0.835,-0.047,0.018,CONFIRMED
735,41.74938613,153.84636,0.226,0.203,-0.226,5.6098,0.0573,1060.0,11.6,2.02141,0.22137,-0.42801,2.94,0.35,89.77,486.0,13.22,4.77,57.11,6.3,0.4526,16.59695,67.47628,95.0,3,34.0,0.4664,5506.0,110.0,0.0,4.473,0.064,0.914,0.111,-0.074,0.904,-0.05,0.024,CONFIRMED
736,1.718649321,132.21092,0.421,0.011,-0.016,3.94095,0.00693,191000.0,304.0,0.61677,0.01266,-0.0117,39.08,11.7,84.73,1499.0,1194.16,1050.48,4.5837,0.0941,0.3238,551.4211,5297.631,833.4,1,779.0,0.0,6071.0,165.0,-183.0,4.541,0.037,0.865,0.259,-0.069,0.947,-0.118,0.0,FALSE POSITIVE
737,0.651731691,131.751463,1.255,0.315,-0.109,2.4602,0.0105,20500.0,61.0,0.34074,0.14457,-0.05671,71.9,19.9,50.43,2604.0,10815.86,8819.13,1.97,0.836,0.3719,188.78581,2799.471,347.5,1,2057.0,-1.0,5791.0,157.0,-157.0,4.052,0.458,1.472,0.408,-0.56,0.89,-0.09,0.0,FALSE POSITIVE
738,1.886002102,131.74153,0.361,0.274,-0.361,1.021,0.262,47.4,9.5,12.42353,600.90125,-11.65808,0.65,0.19,88.44,1433.0,997.72,848.55,13.27,6.6,0.3928,3.110261,7.363682,7.6,1,712.0,0.8979,5793.0,144.0,-173.0,4.485,0.065,0.925,0.273,-0.091,0.954,-0.102,0.0,FALSE POSITIVE
739,241.0122,263.077,0.4046,0.329,-0.3469,1.19,2.6,216.0,76.4,959.13239,40.86713,-655.33887,4.41,1.22,89.95,600.0,30.56,25.34,1433.4,61.1,0.2589,6.2135533,24.499257999999998,4.1,2,164.0,0.4679,7843.0,225.0,-311.0,3.829,0.239,2.909,0.809,-0.867,2.081,-0.388,0.126,FALSE POSITIVE
740,0.566795586,131.83245,0.686,0.274,-0.448,4.124,0.331,39.4,3.1,0.08591,0.02052,-0.01244,0.66,0.2,52.79,2296.0,6597.1,5685.47,1.134,0.271,0.3511,4.046648,9.704991,19.6,1,2370.0,0.9486,6108.0,162.0,-198.0,4.471,0.062,0.997,0.294,-0.105,1.072,-0.153,0.419,FALSE POSITIVE
741,6.64754478,137.13371,0.235,0.213,-0.235,1.961,0.143,289.0,28.1,7.17422,3.2177,-2.63876,1.72,0.54,89.47,999.0,235.89,226.31,25.6,11.5,0.3661,3.3630998,11.341888,12.4,1,197.0,0.9733,6046.0,190.0,-211.0,4.478,0.054,1.007,0.318,-0.106,1.111,-0.159,0.01,CONFIRMED
742,4.702495974,136.308468,1.303,24.99,-0.042,2.3421,0.0306,4790.0,55.7,0.3544,46.13169,-0.03313,37.24,7.42,79.93,981.0,219.08,135.28,7.45,3.7,0.4415,27.310488,224.04196,101.1,1,230.0,0.4876,5408.0,161.0,-145.0,4.476,0.092,0.878,0.175,-0.102,0.842,-0.071,0.0,FALSE POSITIVE
743,10.64311069,140.1691798,1.179,0.175,-0.178,88.1118,0.109,316.0,19.4,0.00029,0.0,0.0,31.72,7.94,11.12,1038.0,274.67,214.51,1.201967,2.1,0.3354,4.4867787,10.391341,153.7,1,134.0,0.1798,5930.0,196.0,-196.0,4.084,0.364,1.473,0.369,-0.507,0.96,-0.115,0.005,FALSE POSITIVE
744,20.7106853,134.03192,1.252,0.646,-0.095,42.737,0.357,1000.0,7.8,0.0002,0.00029,-3e-05,89.55,13.3,40.85,1246.0,570.64,254.71,1.655,0.8,0.2541,4.4151664,19.447906,154.4,1,68.0,0.9979,6956.0,163.0,-225.0,3.738,0.278,2.888,0.428,-0.927,1.664,-0.335,0.0,FALSE POSITIVE
745,7.13969705,137.18652,0.027,0.425,-0.027,3.981,0.109,513.0,21.4,1.0168,0.08946,-0.34249,2.24,0.65,89.89,965.0,205.23,180.35,13.99,1.2,0.3661,4.504234,24.798525,27.8,1,186.0,0.8873,6014.0,190.0,-211.0,4.486,0.048,0.993,0.286,-0.114,1.101,-0.174,0.117,CONFIRMED
746,2.18079098,132.39262,0.74,0.349,-0.251,12.13,4.6,83.2,10.5,0.00813,0.00098,-0.00315,3.29,0.32,54.35,2767.0,13876.96,5405.39,1.269,0.153,0.2527,3.3694663,10.947229,69.3,1,624.0,0.1222,6911.0,247.0,-340.0,3.661,0.323,3.339,0.33,-1.321,1.865,-0.445,0.122,FALSE POSITIVE
747,69.3788597,154.19137,0.539,0.433,-0.313,3.807,0.232,530.0,38.1,6.93178,6.7012,-0.8808,2.07,0.6,89.74,421.0,7.4,6.25,120.8,58.4,0.3858,6.1626925,15.726012,16.8,1,19.0,0.5109,5806.0,156.0,-174.0,4.529,0.05,0.874,0.252,-0.084,0.943,-0.11,0.0,FALSE POSITIVE
748,0.784512952,355.57263,1.234,1.001,-0.174,2.4623,0.0765,586.0,15.8,0.08089,0.31629,-0.02252,25.48,7.44,26.69,1952.0,3432.93,3055.16,1.381,0.675,0.3447,4.0414243,15.3658285,44.4,2,1441.0,0.9647,5997.0,189.0,-231.0,4.522,0.05,0.904,0.264,-0.088,0.991,-0.131,0.0,FALSE POSITIVE
749,1.827558898,132.26554,0.093,0.036,-0.087,4.72808,0.00703,315000.0,494.0,0.54137,0.00703,-0.00748,118.28,27.0,88.83,2178.0,5331.71,3712.98,4.5722,0.0594,0.3354,3377.5889,39165.887,920.8,1,735.0,-1.0,5977.0,178.0,-196.0,3.854,0.544,2.077,0.474,-1.026,1.125,-0.255,0.0,FALSE POSITIVE
750,2.892216772,132.87726,0.806,0.131,-0.58,1.3596,0.0686,361.0,18.3,2.39115,7.92663,-1.93203,1.31,0.06,85.46,794.0,93.66,16.07,10.19,4.8,0.6656,3.9665842,22.526714,23.9,1,466.0,0.0533,4229.0,84.0,-84.0,4.655,0.025,0.615,0.025,-0.031,0.625,-0.033,0.564,CONFIRMED
751,4.33722007,132.85152,0.053,0.378,-0.053,2.4973,0.0427,359.0,8.0,2.46739,0.07863,-0.83351,1.63,0.15,89.77,996.0,231.86,69.38,13.488,0.43,0.4603,6.5293293,50.629402,47.9,2,309.0,0.7298,5390.0,107.0,-107.0,4.499,0.052,0.876,0.084,-0.058,0.883,-0.049,0.119,CONFIRMED
752,4.9883873,358.23526,0.944,0.018,-0.627,9.059,0.49,508.0,13.7,0.00564,0.07235,-0.00175,3.28,1.05,61.07,1236.0,550.52,520.66,1.95,0.962,0.2998,5.2359495,29.411352,42.4,1,174.0,0.0056,6418.0,179.0,-246.0,4.395,0.054,1.171,0.375,-0.15,1.241,-0.184,0.0,FALSE POSITIVE
753,203.511886,329.4945,0.3979,0.0596,-0.3979,3.671,0.433,167.0,19.1,27.96532,24.56429,-13.52844,2.07,1.28,89.95,442.0,9.02,16.99,394.0,173.0,0.2578,6.2135533,24.499257999999998,9.3,1,164.0,0.4679,6967.0,178.0,-252.0,4.193,0.113,1.565,0.962,-0.301,1.403,-0.28,0.0,FALSE POSITIVE
754,18.95491633,262.46677,1.228,0.249,-0.11,24.249,0.132,868.0,4.3,0.00046,0.00012,-3e-05,71.39,8.6,53.41,1139.0,397.48,143.16,2.06,0.537,0.3098,21.614784,105.717995,249.3,1,59.0,0.855,6362.0,129.0,-116.0,3.761,0.225,2.534,0.305,-0.712,1.352,-0.207,0.016,FALSE POSITIVE
755,5.00749378,134.69035,0.206,0.254,-0.206,2.898,0.267,56.6,4.8,1.66603,0.42948,-0.85417,1.68,0.6,89.09,1499.0,1192.26,1247.41,13.02,3.4,0.4473,5.1183925,12.345101,14.7,1,268.0,0.2066,5242.0,131.0,-105.0,3.644,0.109,2.243,0.811,-0.216,0.808,-0.011,0.0,FALSE POSITIVE
756,7.234965722,134.582307,0.548,0.005,-0.003,7.0245,0.0133,165000.0,369.0,0.37207,0.00147,-0.00445,34.03,8.79,86.89,843.0,119.12,95.5,10.0975,0.0399,0.3728,335.4303,2266.0671,671.3,1,186.0,0.0,5653.0,186.0,-186.0,4.573,0.04,0.798,0.206,-0.069,0.868,-0.097,0.0,FALSE POSITIVE
757,513.14417,359.6183,0.5818,0.0098,-0.4792,14.13,1.6,224.0,36.7,0.87978,1.7046,-0.81485,1.3,0.52,89.95,208.0,0.45,0.53,230.0,112.0,0.3945,6.2135533,24.499257999999998,7.9,1,164.0,0.4679,5709.0,157.0,-144.0,4.557,0.029,0.837,0.34,-0.063,0.92,-0.091,0.3,FALSE POSITIVE
758,3.307669761,131.56743,0.602,0.116,-0.418,1.672,0.0341,243.0,4.5,3.27784,2.88623,-0.54093,3.87,0.46,87.21,1840.0,2710.89,854.92,12.38,5.4,0.3747,6.4001055,53.09929,66.7,1,407.0,0.3601,5959.0,80.0,-80.0,3.829,0.21,2.382,0.278,-0.649,1.395,-0.184,0.0,FALSE POSITIVE
759,5.912273234,172.184012,0.17,0.201,-0.17,2.3254,0.0296,961.0,17.2,4.13623,0.26753,-0.97657,1.73,0.09,89.51,585.0,27.72,5.15,19.7,1.3,0.4639,8.0944605,55.492382,62.8,2,227.0,0.3342,4072.0,73.0,-81.0,4.696,0.023,0.57,0.029,-0.032,0.586,-0.036,0.0,CONFIRMED
760,1.21374652,131.735,0.57,0.019,-0.471,3.371,0.227,28.9,2.0,0.17685,0.1133,-0.03583,0.59,0.13,76.24,1880.0,2945.61,1994.43,2.397,0.768,0.3147,3.3042653,16.33675,17.4,1,1105.0,0.7432,6238.0,156.0,-188.0,4.407,0.077,1.049,0.244,-0.122,1.022,-0.12,0.0,FALSE POSITIVE
761,2.115510941,131.99122,0.492,0.007,-0.006,7.2877,0.00772,415000.0,377.0,0.21091,0.00047,-0.00156,191.42,35.8,82.32,2701.0,12609.03,7219.93,3.68149,0.0082,0.219,4110.4556,44989.64,1351.5,1,0.0,-1.0,7563.0,211.0,-342.0,3.883,0.287,2.638,0.493,-0.986,1.938,-0.441,0.0,FALSE POSITIVE
762,4.27103727,133.14028,0.02,0.451,-0.02,2.2759,0.0846,180.0,8.7,3.17582,0.30853,-1.32877,1.22,0.37,89.92,1108.0,356.54,321.74,14.52,1.4,0.3447,3.6595292,20.392012,24.6,1,316.0,0.2197,5984.0,161.0,-197.0,4.521,0.052,0.906,0.279,-0.093,0.993,-0.121,0.0,CONFIRMED
763,1.105095798,132.55178,0.295,0.169,-0.295,2.624,0.154,142.0,9.5,0.49578,0.14796,-0.16401,0.89,0.14,84.67,1445.0,1025.9,533.93,3.175,0.948,0.49,3.7242644,8.456129,17.4,1,608.0,0.6443,5296.0,159.0,-159.0,4.604,0.032,0.752,0.122,-0.057,0.835,-0.096,0.966,FALSE POSITIVE
764,1.544927524,133.54909,0.533,0.002,-0.462,1.0134,0.0535,139.0,7.0,8.0016,5.94844,-0.89596,1.39,0.41,86.95,1824.0,2606.96,2292.85,10.03,3.7,0.3071,4.539048,20.48621,25.4,1,692.0,0.9041,6309.0,169.0,-207.0,4.34,0.108,1.132,0.34,-0.157,1.018,-0.115,0.0,FALSE POSITIVE
765,8.2904597,132.24956,0.426,0.037,-0.083,2.6002,0.0169,173000.0,860.0,9.168,0.76697,-0.56628,23.96,1.82,89.24,594.0,29.41,9.69,32.18,2.7,0.5738,114.28465,333.75443,297.2,1,11.0,0.1551,4601.0,162.0,-178.0,4.681,0.056,0.566,0.043,-0.047,0.559,-0.031,0.0,FALSE POSITIVE
766,2.9926465,170.80128,0.319,0.136,-0.319,1.81,0.145,106.0,8.0,3.7521,0.59833,-2.04479,0.89,0.23,88.49,1170.0,443.12,324.93,12.11,1.9,0.3928,4.3327885,13.559771,16.1,1,448.0,0.3448,5718.0,136.0,-170.0,4.549,0.042,0.863,0.221,-0.074,0.96,-0.116,0.0,FALSE POSITIVE
767,91.078624,213.7723,0.901,0.045,-0.632,10.304,0.288,739.0,38.7,0.08704,0.79483,-0.056,3.26,1.03,88.47,415.0,7.02,6.73,33.7,16.2,0.3588,5.1159387,12.420644,20.8,1,14.0,0.8623,5915.0,184.0,-205.0,4.437,0.072,1.008,0.319,-0.137,1.014,-0.127,0.508,CONFIRMED
768,8.53161917,136.27763,1.118,46.85,-0.378,2.9596,0.0432,65700.0,867.0,2.78973,625.67145,-0.2464,54.6,0.0,87.1,891.0,148.92,0.0,22.1,11.0,0.4035,15.51246,90.877716,86.1,1,89.0,0.2617,5780.0,157.0,-160.0,4.438,0.071,1.0,0.244,-0.111,1.0,-0.097,0.0,FALSE POSITIVE
769,245.059374,301.678,0.0927,0.3532,-0.0927,9.549,0.601,165.0,13.6,2.42788,0.05308,-1.19769,1.63,0.66,89.95,356.0,3.81,4.55,197.53,4.3,0.3089,6.2135533,24.499257999999998,15.1,1,164.0,0.4679,6036.0,176.0,-149.0,4.127,0.332,1.265,0.504,-0.394,0.781,-0.036,0.0,FALSE POSITIVE
770,25.9522913,154.8689,0.142,0.317,-0.142,10.977,0.622,558.0,47.1,0.17154,0.03003,-0.0689,2.03,0.51,89.55,567.0,24.49,18.81,18.28,3.2,0.4035,3.9235106,11.206927,14.0,1,33.0,0.1786,5692.0,177.0,-197.0,4.547,0.032,0.866,0.217,-0.078,0.965,-0.115,0.0,FALSE POSITIVE
771,0.659299289,131.738727,1.2873,0.4658,-0.0819,0.6908,0.0155,1120.0,8.5,0.87494,0.43311,-0.0527,30.54,13.2,61.88,1979.0,3623.47,4664.31,2.72,1.3,0.3487,6.2135533,24.499257999999998,108.6,1,164.0,0.4679,5791.0,158.0,-147.0,4.524,0.045,0.852,0.369,-0.077,0.885,-0.081,0.0,FALSE POSITIVE
772,68.832195,172.12379,0.633,0.02,-0.491,3.31,0.332,678.0,83.9,8.3847,10.68587,-1.84046,2.35,0.67,89.72,411.0,6.71,5.77,128.1,54.4,0.3928,3.222927,7.4401913,8.2,2,17.0,0.7858,5687.0,169.0,-169.0,4.538,0.046,0.86,0.246,-0.082,0.93,-0.104,0.555,FALSE POSITIVE
773,4.34573349,134.40693,0.512,0.455,-0.301,2.246,0.375,73.5,11.1,2.12691,3.47236,-2.07384,0.86,0.26,87.72,1151.0,415.52,363.41,12.85,5.2,0.3342,3.8575792,7.7701044,9.7,1,246.0,0.004,5967.0,161.0,-179.0,4.43,0.087,0.976,0.291,-0.125,0.936,-0.106,0.0,FALSE POSITIVE
774,13.54057461,171.67762,0.18,0.268,-0.18,4.4673,0.0635,461.0,9.1,1.29576,0.13126,-0.34613,2.17,0.31,89.56,779.0,87.1,36.05,23.24,2.4,0.3928,6.982003,42.19916,53.3,3,99.0,0.7157,5767.0,115.0,-104.0,4.389,0.099,1.014,0.145,-0.119,0.918,-0.059,0.0,CONFIRMED
775,5.795063956,172.697467,0.949,0.005,-0.004,3.2496,0.0513,1690.0,26.5,0.13022,0.00866,-0.01519,4.33,0.98,81.1,950.0,192.74,128.89,6.137,0.408,0.3728,12.354637,108.889015,119.4,1,230.0,0.9339,5865.0,158.0,-158.0,4.563,0.038,0.827,0.186,-0.074,0.914,-0.109,0.0,FALSE POSITIVE
776,38.7149617,134.0313,0.691,0.053,-0.494,3.441,0.164,695.0,46.3,3.49408,5.32159,-3.14103,2.62,0.3,89.39,498.0,14.55,4.53,65.2,24.8,0.4695,5.5755596,18.331856,16.2,3,34.0,0.9459,5445.0,81.0,-81.0,4.458,0.072,0.937,0.105,-0.078,0.919,-0.046,0.008,CONFIRMED
777,4.807103254,134.640371,0.94,0.007,-0.651,0.9393,0.0357,451.0,18.9,3.39526,65.33417,-1.31898,2.96,0.45,86.65,1088.0,330.84,135.45,16.07,7.9,0.4603,4.404341,23.289696,32.9,2,243.0,0.857,5534.0,82.0,-74.0,4.338,0.138,1.08,0.165,-0.15,0.926,-0.043,0.807,CONFIRMED
778,17.73402024,143.9226707,0.837,0.016,-0.02,7.27595,0.00266,187000.0,45.6,0.8672,0.00329,-0.00989,93.52,18.9,88.03,892.0,149.48,91.31,24.3384,0.0923,0.3354,3510.8271,12287.393,2905.9,1,78.0,0.1546,5883.0,162.0,-133.0,4.04,0.28,1.554,0.314,-0.472,0.966,-0.106,0.0,FALSE POSITIVE
779,8.93484887,133.39108,0.888,0.096,-0.667,2.579,0.259,136.0,16.5,0.50724,5.47852,-0.45433,1.83,0.64,86.05,1124.0,377.25,391.78,12.89,6.3,0.2758,3.753287,12.093221,9.7,2,134.0,0.5232,6688.0,187.0,-281.0,4.304,0.075,1.347,0.473,-0.169,1.336,-0.2,0.0,CONFIRMED
780,0.566799927,131.83464,0.188,0.378,-0.188,4.71,0.555,145.0,9.1,0.0866,0.11628,-0.025,0.77,0.1,80.47,1649.0,1738.27,764.44,1.137,0.509,0.5172,3.6318152,11.9268465,28.9,1,2374.0,0.9322,5092.0,151.0,-151.0,4.671,0.028,0.645,0.085,-0.039,0.712,-0.067,0.908,FALSE POSITIVE
781,5.60013327,135.96495,0.046,0.407,-0.046,2.6508,0.0964,329.0,16.0,2.65812,0.01217,-1.15811,1.73,0.2,89.84,952.0,194.26,62.25,16.3947,0.0751,0.5256,4.516484,20.543076,22.8,2,236.0,0.6689,5288.0,79.0,-79.0,4.391,0.12,0.978,0.113,-0.124,0.858,-0.03,0.0,CONFIRMED
782,4.206070484,132.248423,0.949,0.049,-0.048,10.6988,0.0273,120000.0,275.0,0.05268,0.0013,-0.00145,172.66,42.8,75.0,2547.0,9955.22,7345.63,3.6659,0.0905,0.2834,48.584312,348.49265,508.0,1,324.0,0.1844,8212.0,229.0,-343.0,3.736,0.432,3.185,0.789,-1.465,2.016,-0.496,0.0,FALSE POSITIVE
783,2.94648935,132.42208,0.01,0.444,-0.009,3.155,0.238,57.0,5.1,0.816,0.05224,-0.44907,0.89,0.25,89.92,1497.0,1187.5,921.5,7.208,0.461,0.2947,3.6764402,10.979312,12.7,2,455.0,0.1837,6481.0,145.0,-193.0,4.378,0.069,1.171,0.322,-0.138,1.194,-0.164,0.04,CONFIRMED
784,1.992098705,132.891052,1.069,0.041,-0.02,4.03833,0.00379,69400.0,52.5,0.29939,0.00361,-0.00615,45.85,13.4,74.4,1435.0,1006.31,863.45,3.975,0.0479,0.3342,422.76193,5342.1294,1186.0,1,542.0,0.0,6024.0,163.0,-199.0,4.523,0.05,0.9,0.263,-0.088,0.985,-0.132,0.0,FALSE POSITIVE
785,14.37457572,138.20189,0.035,0.384,-0.035,4.7892,0.057,336.0,6.6,1.15872,0.06673,-0.29441,1.94,0.29,89.91,779.0,87.24,37.61,23.3,1.3,0.4035,6.8020535,42.90383,55.2,2,95.0,0.5121,5768.0,115.0,-115.0,4.358,0.121,1.067,0.16,-0.131,0.946,-0.057,0.094,CONFIRMED
786,2.002779769,261.95791,0.242,0.215,-0.242,2.231,0.11,261.0,13.7,1.47264,0.16903,-0.59514,1.42,0.29,87.95,1311.0,696.4,432.41,6.784,0.779,0.4966,4.916469,22.377123,22.2,1,534.0,0.3968,5346.0,159.0,-159.0,4.44,0.135,0.892,0.179,-0.119,0.799,-0.061,0.0,FALSE POSITIVE
787,988.8811177,239.224189,0.1667,0.1675,-0.1667,5.9504,0.0444,5060.0,38.9,45.9275,2.42297,-7.0606,10.81,2.66,89.95,223.0,0.58,0.4,1334.0,70.4,0.4164,6.2135533,24.499257999999998,136.4,1,164.0,0.4679,5755.0,112.0,-112.0,4.101,0.145,1.549,0.381,-0.294,1.105,-0.107,0.0,CONFIRMED
788,6.277827312,172.5786,0.95,0.002,-0.002,8.6841,0.0609,1860.0,17.4,0.009,0.00026,-0.00035,4.87,1.49,69.04,985.0,222.45,199.87,2.6567,0.0767,0.3342,36.992004,235.28323,191.3,1,213.0,0.6682,6077.0,164.0,-183.0,4.526,0.038,0.891,0.273,-0.091,0.974,-0.13,0.0,FALSE POSITIVE
789,8.0922105,138.04535,0.951,0.007,-0.695,5.7696,0.0626,65.3,2.0,0.01516,0.34358,-0.00283,1.44,0.22,75.28,1089.0,331.65,146.96,3.74,1.8,0.3719,4.611766,27.057947,37.5,1,168.0,0.2432,5774.0,115.0,-92.0,4.106,0.224,1.395,0.216,-0.325,0.907,-0.062,0.869,CONFIRMED
790,1.728521892,131.81736,0.719,0.201,-0.477,3.361,0.129,92.2,3.6,0.15508,0.21748,-0.11342,1.19,0.34,75.67,1678.0,1869.82,1615.37,2.9,1.4,0.3858,5.6370683,21.015509,30.2,1,626.0,0.0,5872.0,176.0,-194.0,4.282,0.214,1.157,0.332,-0.241,0.934,-0.096,0.0,FALSE POSITIVE
791,1.032967155,131.92284,0.025,0.428,-0.025,1.17,0.256,127.0,21.6,5.66547,20.49858,-4.00727,21.22,1.24,89.79,5990.0,304226.71,78019.45,6.84,3.1,0.4351,3.4427924,20.868204,8.3,1,1198.0,0.9663,5283.0,153.0,-429.0,2.352,0.032,18.959,1.113,-6.307,2.948,-1.627,0.0,FALSE POSITIVE
792,4.603575293,171.840124,0.246,0.189,-0.246,2.3499,0.0261,440.0,6.3,2.89884,0.32353,-0.70121,1.51,0.08,89.05,810.0,101.65,20.2,14.81,1.7,0.6385,10.378082,84.00717,79.7,1,291.0,0.9048,4783.0,95.0,-95.0,4.602,0.014,0.741,0.039,-0.03,0.805,-0.046,0.0,CONFIRMED
793,3.0570982,134.50122,0.104,0.352,-0.104,3.571,0.165,144.0,10.6,0.58289,0.04001,-0.26129,0.99,0.25,89.1,1202.0,493.09,370.27,6.604,0.453,0.3238,4.089239,13.71391,15.7,1,350.0,0.6848,6021.0,161.0,-179.0,4.57,0.032,0.819,0.209,-0.07,0.922,-0.108,0.244,CONFIRMED
794,231.521608,341.06653,0.5303,0.0338,-0.4571,2.819,0.332,479.0,84.5,57.75943,85.91083,-54.00478,1.96,0.58,89.95,274.0,1.34,1.17,547.0,271.0,0.4048,6.2135533,24.499257999999998,6.1,1,164.0,0.4679,5695.0,150.0,-155.0,4.545,0.027,0.872,0.262,-0.068,0.971,-0.111,0.946,FALSE POSITIVE
795,0.933747375,131.5199,1.063,0.356,-0.074,5.974,0.274,199.0,6.9,0.02837,0.0362,-0.00384,8.93,2.61,13.61,2003.0,3820.18,3207.16,1.094,0.465,0.319,3.8416898,8.976294,35.9,1,680.0,0.8739,6224.0,153.0,-218.0,4.454,0.052,1.024,0.299,-0.107,1.084,-0.144,0.0,FALSE POSITIVE
796,1.665784138,133.863028,1.27,3.096,-0.104,1.8946,0.0182,2010.0,15.2,0.1388,1.22805,-0.01766,97.27,16.1,62.29,2636.0,11424.49,5918.75,2.73,1.3,0.3092,18.261425,284.539,148.0,1,803.0,0.8839,6261.0,175.0,-159.0,3.686,0.323,2.789,0.463,-1.079,1.378,-0.323,0.0,FALSE POSITIVE
797,58.0198583,151.85007,0.951,0.014,-0.011,5.348,0.182,1290.0,34.8,0.25545,0.01862,-0.0946,3.46,0.29,88.47,354.0,3.7,0.99,35.69,2.6,0.5746,23.154446,46.58143,66.0,3,16.0,0.0968,4920.0,98.0,-98.0,4.62,0.01,0.72,0.059,-0.022,0.822,-0.059,0.618,CONFIRMED
798,18.6848377,136.14587,0.405,0.073,-0.405,3.7965,0.0859,1250.0,32.0,2.46841,0.83416,-0.57143,1.93,0.11,89.35,402.0,6.16,1.26,35.7,12.1,0.5738,7.800099,35.19044,41.2,2,69.0,0.6356,4156.0,83.0,-91.0,4.712,0.027,0.545,0.03,-0.03,0.559,-0.034,0.002,CONFIRMED
799,231.364508,299.729,0.6598,0.0713,-0.4814,4.747,0.796,1490.0,233.0,9.34512,36.68168,-9.20163,2.45,0.27,89.95,202.0,0.4,0.16,298.0,146.0,0.5206,6.2135533,24.499257999999998,9.2,1,164.0,0.4679,4691.0,173.0,-157.0,4.673,0.042,0.604,0.066,-0.048,0.627,-0.05,0.715,FALSE POSITIVE
