kepid,koi_period,koi_time0bk,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_dor,koi_dor_err1,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err2,koi_fwm_stat_sig,koi_disposition
13,1.303859704,134.21201,0.674,0.239,-0.429,2.8239,0.0829,36.7,1.3,0.23184,0.24267,-0.15728,0.98,0.2,75.81,2393.0,7759.2,4785.96,2.752,0.96,0.2774,5.0693107,21.982012,34.7,1,1028.0,0.928,6802.0,183.0,-224.0,4.103,0.221,1.521,0.313,-0.383,1.069,-0.122,0.0,FALSE POSITIVE
14,2.40435325,133.2257,1.202,2.052,-0.169,6.825,0.403,350.0,18.3,0.00786,0.11109,-0.0023,24.16,0.0,26.14,1359.0,806.18,0.0,1.339,0.653,0.4035,3.2969303,14.315593,23.3,1,259.0,0.0352,5780.0,157.0,-160.0,4.438,0.071,1.0,0.244,-0.111,1.0,-0.097,0.0,FALSE POSITIVE
15,194.896925,252.0208,0.5298,0.0183,-0.4876,2.504,0.62,557.0,99.7,69.94737,56.27614,-68.49587,8.98,6.98,89.95,575.0,25.77,62.87,520.0,209.0,0.3623,6.2135533,24.499257999999998,8.8,1,164.0,0.4679,5269.0,114.0,-105.0,3.193,0.216,3.706,2.879,-0.789,0.78,-0.014,0.278,FALSE POSITIVE
16,17.27629668,133.839172,0.085,0.129,-0.05,3.94738,0.0042,10500.0,13.9,3.04681,0.04201,-0.0039,7.31,0.47,89.87,538.0,19.88,4.51,36.36,0.501,0.5684,125.15509,785.51996,871.4,1,78.0,0.0062,4941.0,98.0,-98.0,4.599,0.018,0.738,0.048,-0.03,0.79,-0.046,0.078,CONFIRMED
17,32.5635249,163.46038,0.371,0.094,-0.371,5.418,0.169,578.0,26.5,1.49185,0.40442,-0.47439,2.05,0.15,89.51,490.0,13.63,3.1,43.7,11.9,0.5167,6.076048,21.8976,24.1,2,44.0,0.7339,5225.0,83.0,-73.0,4.505,0.054,0.859,0.063,-0.051,0.861,-0.041,0.162,CONFIRMED
18,8.939461148,133.013944,0.558,0.005,-0.005,6.19136,0.0034,358000.0,178.0,1.14998,0.00325,-0.00346,153.32,31.8,88.11,1407.0,926.24,581.32,16.9363,0.0479,0.2893,2955.8267,15561.399,2427.5,1,175.0,0.0,6461.0,181.0,-227.0,3.846,0.456,2.225,0.461,-0.998,1.266,-0.273,0.0,FALSE POSITIVE
19,16.8282542,296.233,0.7071,0.0434,-0.4711,39.098,0.462,655.0,12.6,0.00114,0.00124,-0.00014,2.66,0.76,73.91,668.0,46.95,38.99,2.575,0.933,0.5081,6.2135533,24.499257999999998,78.3,1,164.0,0.4679,5575.0,141.0,-180.0,4.496,0.039,0.972,0.279,-0.08,1.08,-0.139,0.0,FALSE POSITIVE
20,1.387206724,132.8469146,0.856,0.002,-0.05,3.82527,0.00281,151000.0,45.7,0.45506,0.00677,-0.01047,103.41,31.5,76.2,2619.0,11126.98,9998.04,3.5906,0.0534,0.24,1691.0868,19901.574,1752.6,1,967.0,-1.0,7207.0,201.0,-277.0,4.06,0.198,1.894,0.576,-0.471,1.499,-0.265,0.0,FALSE POSITIVE
21,18.936061,139.0725,0.285,0.156,-0.285,22.27,1.7,24.3,1.9,0.01311,0.00057,-0.00686,0.34,0.03,87.4,516.0,16.7,3.82,6.287,0.273,0.5575,4.080232,9.439787,14.0,2,73.0,0.6241,4947.0,98.0,-98.0,4.621,0.012,0.714,0.047,-0.026,0.8,-0.062,0.628,FALSE POSITIVE
22,370.35639,425.9854,0.414,0.0632,-0.4139,12.75,2.0,732.0,81.7,1.24362,0.56118,-1.17749,2.82,1.23,89.95,268.0,1.21,1.57,208.1,93.9,0.341,6.2135533,24.499257999999998,13.0,1,164.0,0.4679,6117.0,162.0,-234.0,4.457,0.048,1.025,0.447,-0.098,1.097,-0.143,0.0,FALSE POSITIVE
23,0.503999678,131.631544,0.962,0.103,-0.013,0.5421,0.0211,976.0,6.9,2.24957,2.37098,-1.09028,2.97,0.17,72.01,1605.0,1566.41,405.93,3.11,1.1,0.4539,4.0778275,10.537706,96.8,1,2652.0,-1.0,4898.0,146.0,-146.0,4.686,0.054,0.568,0.033,-0.037,0.57,-0.024,0.0,FALSE POSITIVE
24,7.09520543,135.3715105,0.778,0.003,-0.061,3.69044,0.00221,233000.0,47.6,3.19847,0.14062,-0.09469,50.23,10.6,87.82,813.0,103.28,67.33,20.418,0.898,0.4341,1347.9503,9368.571,1959.2,1,186.0,0.038,5481.0,166.0,-149.0,4.592,0.034,0.778,0.164,-0.059,0.871,-0.102,0.0,FALSE POSITIVE
25,38.2856338,143.2984,0.115,0.34,-0.115,6.512,0.402,323.0,24.1,1.20398,0.30066,-0.54553,1.77,0.26,89.85,534.0,19.24,7.71,45.4,11.3,0.4526,5.2318935,11.1404295,15.0,4,31.0,0.3227,5616.0,101.0,-101.0,4.394,0.105,0.999,0.142,-0.116,0.903,-0.051,0.2,CONFIRMED
26,3.319523463,131.923046,1.162,0.442,-0.159,3.3465,0.0209,38800.0,181.0,0.49846,0.14295,-0.03984,38.37,9.36,79.9,1108.0,356.42,256.95,6.62,1.9,0.3556,178.18674,2110.4111,249.4,1,322.0,0.4304,5761.0,155.0,-155.0,4.581,0.04,0.791,0.193,-0.064,0.881,-0.106,0.027,FALSE POSITIVE
27,16.57902805,146.733098,0.745,0.003,-0.002,7.803,0.0139,38000.0,57.5,0.24186,0.00081,-0.0039,49.01,9.44,87.19,1062.0,300.36,180.12,15.2034,0.0509,0.3874,857.60803,3967.372,813.6,1,84.0,0.0,5870.0,175.0,-146.0,3.808,0.323,2.3,0.443,-0.823,1.239,-0.267,0.0,FALSE POSITIVE
28,2.62838097,131.62343,0.087,0.37,-0.087,3.193,0.181,89.9,6.8,0.69966,0.06918,-0.3226,1.01,0.29,89.21,1375.0,846.09,709.78,6.346,0.627,0.3729,4.143202,13.935052,15.3,1,517.0,0.6162,5884.0,156.0,-191.0,4.408,0.084,1.07,0.307,-0.141,1.07,-0.136,0.0,FALSE POSITIVE
29,9.32867952,135.87513,0.035,0.417,-0.035,1.572,0.0939,354.0,30.1,21.27922,2.62411,-10.17142,1.62,0.44,89.96,806.0,99.6,79.07,46.09,5.7,0.3928,3.0542865,11.328061,12.7,2,140.0,0.7208,5749.0,153.0,-170.0,4.547,0.033,0.864,0.234,-0.078,0.961,-0.116,0.131,CONFIRMED
30,14.0498182,140.50396,0.569,0.372,-0.36,2.907,0.161,472.0,37.8,2.93196,2.76685,-0.13027,1.45,0.07,88.96,480.0,12.56,2.96,31.3,14.8,0.6834,3.8554864,12.244102,14.5,1,92.0,0.9047,4228.0,128.0,-141.0,4.618,0.052,0.652,0.031,-0.056,0.642,-0.056,0.0,FALSE POSITIVE
31,19.4444573,147.9093,0.634,0.034,-0.484,5.509,0.654,182.0,32.1,0.48398,1.14549,-0.45496,1.53,0.47,88.29,749.0,74.47,66.87,21.3,10.1,0.319,3.5745072,7.448767,7.1,1,59.0,0.6068,6278.0,174.0,-261.0,4.425,0.067,1.081,0.329,-0.141,1.132,-0.157,0.003,FALSE POSITIVE
32,6.31943553,132.22892,0.775,0.012,-0.548,3.3422,0.0457,581.0,10.3,0.43273,0.95615,-0.10259,2.71,0.39,85.42,986.0,223.15,93.54,9.7,4.3,0.4096,7.5457764,45.591755,61.0,4,182.0,0.6146,5670.0,114.0,-114.0,4.397,0.095,1.022,0.148,-0.108,0.949,-0.055,0.0,CONFIRMED
33,9.9398272,140.8334549,1.973,0.175,-0.178,4.1198,0.109,479.0,19.4,0.02602,0.0,0.0,101.71,31.2,67.43,819.0,106.5,96.67,5.141255,2.1,0.4096,4.427384,10.994687,4.3,1,110.0,0.8065,5798.0,162.0,-203.0,4.507,0.039,0.941,0.289,-0.096,1.038,-0.125,0.0,FALSE POSITIVE
34,406.29695,404.6352,0.4038,0.0515,-0.4037,5.32,1.7,137.0,27.9,18.06869,9.51913,-10.49776,1.85,0.9,89.95,315.0,2.31,3.32,540.0,142.0,0.3537,6.2135533,24.499257999999998,10.7,1,164.0,0.4679,6031.0,150.0,-175.0,4.103,0.25,1.566,0.759,-0.454,1.132,-0.16,0.0,FALSE POSITIVE
35,9.459993213,138.3433458,0.743,0.011,-0.027,5.3012,0.00195,238000.0,38.5,1.43619,0.03272,-0.01664,51.89,11.8,87.75,766.0,81.31,54.69,18.94,0.431,0.4415,4071.0237,25761.838,3164.4,1,143.0,0.0833,5569.0,149.0,-149.0,4.566,0.038,0.829,0.188,-0.075,0.928,-0.111,0.0,FALSE POSITIVE
36,2.71603664,132.35962,0.44,0.513,-0.242,1.744,0.125,98.5,8.7,3.25287,1.76432,-0.98008,1.05,0.14,87.67,1360.0,807.43,278.79,10.82,2.9,0.3661,3.6779761,10.225331,13.1,1,494.0,0.0842,6011.0,72.0,-90.0,4.452,0.026,1.041,0.138,-0.064,1.119,-0.073,0.0,CONFIRMED
37,42.1406089,139.0604,0.045,0.393,-0.045,5.083,0.155,896.0,43.6,2.91697,0.38602,-0.88958,1.85,0.13,89.96,349.0,3.49,0.81,64.94,8.6,0.6811,7.271111,13.00283,21.6,5,28.0,0.0049,4500.0,90.0,-90.0,4.656,0.013,0.646,0.043,-0.02,0.71,-0.043,0.015,CONFIRMED
38,0.885123683,131.88646,0.708,0.01,-0.519,3.3865,0.0936,113.0,3.4,0.11051,0.09324,-0.06711,1.14,0.34,64.77,1961.0,3477.17,3064.27,1.66,0.7,0.3511,3.6065972,16.17963,42.0,1,762.0,0.7737,5979.0,161.0,-179.0,4.44,0.084,0.998,0.3,-0.129,0.999,-0.119,0.0,FALSE POSITIVE
39,670.645531,209.04355,0.701,0.004,-0.005,53.412,0.131,18100.0,33.5,0.02605,0.00045,-0.00046,14.14,2.13,89.53,196.0,0.35,0.15,85.24,1.5,0.4955,70.64302,96.96236,642.7,1,3.0,0.0001,5520.0,100.0,-111.0,4.466,0.032,0.983,0.148,-0.049,1.03,-0.058,0.0,FALSE POSITIVE
40,438.81524,307.9493,0.108,0.3367,-0.1079,6.75,1.0,333.0,55.4,12.44843,1.85791,-12.15488,1.36,0.34,89.95,202.0,0.39,0.31,502.3,75.0,0.4386,6.2135533,24.499257999999998,9.2,1,164.0,0.4679,5324.0,173.0,-137.0,4.551,0.057,0.755,0.189,-0.071,0.739,-0.055,0.171,FALSE POSITIVE
41,21.37831102,157.804933,0.257,0.017,-0.013,21.7174,0.044,80600.0,113.0,0.033,0.00038,-0.00045,97.23,25.4,88.41,1062.0,300.32,203.38,9.273,0.107,0.5405,348.72455,1441.8278,852.2,1,53.0,-1.0,4905.0,66.0,-51.0,3.3,0.135,3.484,0.909,-0.49,0.883,-0.014,0.0,FALSE POSITIVE
42,5.00673576,134.54239,0.599,0.31,-0.378,1.9398,0.0808,191.0,8.8,3.16504,3.178,-2.73102,2.0,0.57,87.87,1324.0,726.94,630.28,16.13,5.4,0.3354,4.2541347,24.846485,26.6,1,271.0,0.4211,6116.0,191.0,-212.0,4.158,0.264,1.383,0.394,-0.433,1.005,-0.125,0.0,FALSE POSITIVE
43,0.634003002,131.89476,0.367,0.098,-0.367,0.9207,0.06,317.0,19.8,5.99076,1.88789,-2.92724,1.35,0.2,85.82,1714.0,2030.16,1063.4,5.03,1.6,0.49,3.1423433,14.549766,21.0,1,1013.0,0.1623,5226.0,190.0,-190.0,4.606,0.036,0.75,0.112,-0.06,0.84,-0.103,0.001,CONFIRMED
44,373.74691,259.9281,0.834,0.117,-0.586,28.37,1.1,622.0,43.6,0.02948,0.12978,-0.0246,2.65,0.9,89.21,260.0,1.08,1.09,60.2,29.4,0.3147,6.7508216,8.279686,16.2,1,4.0,0.2019,6131.0,182.0,-219.0,4.497,0.056,0.945,0.321,-0.1,1.023,-0.124,0.0,FALSE POSITIVE
45,0.518071538,131.92715,1.264,0.693,-0.167,1.7865,0.0182,2200.0,17.9,0.25201,0.47293,-0.06162,42.1,12.4,34.22,2536.0,9823.05,8821.02,1.529,0.717,0.3588,13.972109,61.495342,152.1,1,178.0,0.9831,5876.0,184.0,-205.0,4.273,0.185,1.209,0.357,-0.268,0.999,-0.115,0.0,FALSE POSITIVE
46,0.992798625,131.70889,1.219,0.572,-0.152,3.5065,0.059,583.0,8.8,0.04621,0.08252,-0.01214,29.26,9.33,24.56,1967.0,3519.47,3406.53,1.34,0.598,0.3661,5.9009266,8.571441,79.1,1,870.0,0.9673,6055.0,190.0,-232.0,4.407,0.072,1.098,0.35,-0.15,1.126,-0.166,0.0,FALSE POSITIVE
47,1.306723495,132.53576,1.229,0.111,-0.072,6.606,0.0349,12500.0,50.7,0.04562,0.00727,-0.00598,27.42,2.21,39.92,1170.0,443.02,150.79,1.603,0.255,0.6019,66.62637,620.25037,311.7,1,880.0,0.0001,4651.0,163.0,-163.0,4.612,0.052,0.657,0.053,-0.059,0.644,-0.046,0.0,FALSE POSITIVE
48,5.262652179,135.6269856,0.96,0.054,-0.012,2.85554,0.00154,22700.0,7.4,0.78687,0.02034,-0.05112,35.99,6.49,84.74,1499.0,1191.71,538.75,10.483,0.271,0.2544,324.576,3524.3567,2246.9,1,252.0,0.0317,7049.0,74.0,-95.0,4.212,0.054,1.549,0.279,-0.129,1.432,-0.082,0.0,FALSE POSITIVE
49,365.61087,185.4567,0.935,0.038,-0.696,16.102,0.849,1120.0,100.0,0.06782,1.35945,-0.04745,4.42,1.39,89.32,273.0,1.32,1.26,78.3,38.3,0.3588,6.0277414,8.063917,12.3,2,4.0,0.0104,6060.0,191.0,-212.0,4.408,0.087,1.068,0.337,-0.144,1.061,-0.132,0.423,FALSE POSITIVE
50,176.17377,144.8337,0.2545,0.2286,-0.2544,14.58,2.2,350.0,52.8,0.45748,0.29458,-0.30929,1.76,0.61,89.95,323.0,2.57,2.61,90.9,29.3,0.3583,6.2135533,24.499257999999998,8.2,1,164.0,0.4679,5957.0,162.0,-196.0,4.506,0.039,0.937,0.325,-0.082,1.026,-0.125,0.0,FALSE POSITIVE
51,3.13295351,135.67494,0.135,0.312,-0.135,2.2207,0.0838,435.0,19.8,2.49482,0.25066,-0.91914,1.39,0.09,89.29,937.0,181.84,42.51,10.9,1.1,0.5396,3.8033988,20.515207,23.9,4,402.0,0.3511,5016.0,100.0,-100.0,4.641,0.018,0.679,0.046,-0.029,0.743,-0.052,0.103,CONFIRMED
52,7.51854537,132.53078,0.13,0.321,-0.13,2.845,0.146,287.0,17.2,2.8135,0.29721,-1.17915,1.42,0.06,89.63,784.0,89.41,14.58,20.33,2.1,0.582,4.017333,14.684393,19.4,2,173.0,0.0035,5064.0,83.0,-75.0,4.474,0.09,0.864,0.038,-0.076,0.811,-0.03,0.005,CONFIRMED
53,90.08255562,173.987561,0.099,0.009,-0.017,19.7301,0.00869,43300.0,14.5,0.16603,0.00073,-0.0005,49.2,9.2,89.86,666.0,46.58,26.41,41.451,0.182,0.2931,828.3459,2006.473,3571.6,1,15.0,0.3708,6523.0,176.0,-176.0,3.835,0.292,2.343,0.438,-0.813,1.371,-0.233,0.0,FALSE POSITIVE
